Name,Dimensions,Size,DataType,Attributes,HistFlag
LOADOCAC,"time, lat, lon","1, 96, 144",float32,"units: mg/m2, long_name: OC aerosol coag load, cell_methods: time: mean",aerocom
MMRPM1,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: 3D aerosol PM1.0 mass mixing ratio, cell_methods: time: mean",aerocom
MMRPM2P5,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: 3D aerosol PM2.5 mass mixing ratio, cell_methods: time: mean",aerocom
MMR_AH2O,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: kg/kg, long_name: Aerosol water mmr, cell_methods: time: mean",aerocom
NNAT_0,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 0 number concentration, cell_methods: time: mean",aerocom
NNAT_1,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 1 number concentration, cell_methods: time: mean",aerocom
NNAT_10,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 10 number concentration, cell_methods: time: mean",aerocom
NNAT_12,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 12 number concentration, cell_methods: time: mean",aerocom
NNAT_14,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 14 number concentration, cell_methods: time: mean",aerocom
NNAT_2,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 2 number concentration, cell_methods: time: mean",aerocom
NNAT_4,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 4 number concentration, cell_methods: time: mean",aerocom
NNAT_5,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 5 number concentration, cell_methods: time: mean",aerocom
NNAT_6,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 6 number concentration, cell_methods: time: mean",aerocom
NNAT_7,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 7 number concentration, cell_methods: time: mean",aerocom
NNAT_8,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 8 number concentration, cell_methods: time: mean",aerocom
NNAT_9,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: 1/cm3, long_name: Aerosol mode 9 number concentration, cell_methods: time: mean",aerocom
OD550DRY,"time, lat, lon","1, 96, 144",float32,"units: unitless, long_name: Dry aerosol optical depth at 550nm, cell_methods: time: mean",aerocom
PM25,"time, lat, lon","1, 96, 144",float32,"units: ug/m3, long_name: Aerosol PM2.5, cell_methods: time: mean",aerocom
PM2P5,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: ug/m3, long_name: 3D aerosol PM2.5, cell_methods: time: mean",aerocom
PMTOT,"time, lat, lon","1, 96, 144",float32,"units: ug/m3, long_name: Aerosol PM, all sizes, cell_methods: time: mean",aerocom
RHW,"time, lev, lat, lon","1, 32, 96, 144",float32,"mdims: 1, units: percent, long_name: Relative humidity with respect to liquid, cell_methods: time: mean",aerocom
